menu_key,menu_name,menu_norm,ingredient,spicy,has_soup,is_raw,main_ingredients,course,confidence,source,months,regions,restaurant_count
도다리|도다리,도다리,도다리,도다리,0,Y,N,해산물,식사,0.85,manual,3;4,전남 여수시,4
도다리쑥국|도다리,도다리쑥국,도다리쑥국,도다리,0,Y,N,해산물,식사,0.85,rule,3;4,전남 광양시;전남 여수시,2
도다리쑥국|쑥,도다리쑥국,도다리쑥국,쑥,0,Y,N,해산물,식사,0.85,rule,4,전남 광양시;전남 여수시,2
도원경 꼬막정식|꼬막,도원경 꼬막정식,도원경 꼬막정식,꼬막,1,N,N,해산물,식사,0.85,rule,2;11;12,전남 순천시,1
도원경 탕꼬막정식|꼬막,도원경 탕꼬막정식,도원경 탕꼬막정식,꼬막,0,Y,N,해산물,식사,0.85,rule,2;11;12,전남 순천시,1
도토리 냉묵밥|도토리,도토리 냉묵밥,도토리 냉묵밥,도토리,0,N,N,채소,식사,0.85,rule,12,전남 순천시,1
도토리 들깨수제비|도토리,도토리 들깨수제비,도토리 들깨수제비,도토리,0,Y,N,채소,식사,0.85,rule,12,전남 화순군,1
도토리 들깨수제비|들깨,도토리 들깨수제비,도토리 들깨수제비,들깨,0,Y,N,채소,식사,0.85,rule,1;8,전남 화순군,1
도토리 들깨수제비|들깨수제비,도토리 들깨수제비,도토리 들깨수제비,들깨수제비,0,Y,N,채소,식사,0.85,rule,8,전남 화순군,1
도토리 임자탕|도토리,도토리 임자탕,도토리 임자탕,도토리,0,Y,N,채소,식사,0.85,rule,12,전남 순천시,1
도토리묵잡채|도토리,도토리묵잡채,도토리묵잡채,도토리,1,N,N,채소,식사,0.85,manual,12,광주 동구,1
도토리수제비|도토리,도토리수제비,도토리수제비,도토리,0,Y,N,채소,식사,0.85,rule,12,광주 북구,1
도토리해물파전|도토리,도토리해물파전,도토리해물파전,도토리,0,N,N,해산물,식사,0.85,rule,12,전남 화순군,1
돼지고기 쌈밥|돼지고기,돼지고기 쌈밥,돼지고기 쌈밥,돼지고기,1,N,N,육류,식사,0.85,rule,4;11,전남 순천시,1
돼지고기육전|돼지고기,돼지고기육전 등,돼지고기육전,돼지고기,0,N,N,육류,식사,0.85,rule,4;11,전남 담양군,1
두부김치|두부,두부김치,두부김치,두부,1,N,N,채소,식사,0.85,manual,5,전남 구례군;전남 목포시;전남 여수시,3
두부김치전골|두부,두부김치전골,두부김치전골,두부,2,Y,N,채소,식사,0.85,rule,5,전남 목포시,1
두부버섯전골|두부,두부버섯전골,두부버섯전골,두부,1,Y,N,채소,식사,0.85,rule,5,전남 담양군,1
두부보쌈|두부,두부보쌈,두부보쌈,두부,1,N,N,육류;채소,식사,0.85,rule,5,전남 나주시;전남 목포시,3
두부전골|두부,두부전골 등,두부전골,두부,1,Y,N,채소,식사,0.85,rule,5,전남 나주시;전남 화순군,3
들깨 흑염소탕|들깨,들깨 흑염소탕,들깨 흑염소탕,들깨,0,Y,N,육류,식사,0.85,rule,1;8,광주 서구,1
마른우럭지리탕|우럭,마른우럭지리탕,마른우럭지리탕,우럭,0,N,N,해산물,식사,0.85,manual,5,전남 목포시,1
먹갈치 조림|갈치,먹갈치 조림,먹갈치 조림,갈치,2,N,N,해산물,식사,0.85,rule,7;8;9,전남 목포시,1
멍게덮밥|멍게,멍게덮밥 등,멍게덮밥,멍게,2,N,Y,해산물,식사,0.85,rule,3;4,전남 여수시,1
멍게비빔밥|멍게,멍게비빔밥,멍게비빔밥,멍게,2,N,Y,해산물,식사,0.85,rule,3;4,전남 강진군;전남 여수시;전남 영암군,4
모둠꽃게장|꽃게,모둠꽃게장,모둠꽃게장,꽃게,1,N,Y,해산물,식사,0.85,rule,9;10,전남 여수시,1
모둠꽃게장정식|꽃게,모둠꽃게장정식,모둠꽃게장정식,꽃게,1,N,Y,해산물,식사,0.85,rule,9;10,전남 여수시,1
모둠꽃게장정식+돌게장정식|꽃게,모둠꽃게장정식+돌게장정식,모둠꽃게장정식+돌게장정식,꽃게,1,N,Y,해산물,식사,0.85,rule,9;10,전남 여수시,1
